index,Changed_article,Changed_json,Original_article,Original_json,topics_changed,topics,id
0,"#Canada has become the third nation in the world to administer the #PfizerBioNTech vaccine by starting the #COVID19... https://t.co/TVbiOREZBP, which is a non-mRNA based vaccine. However, this achievement took place on the vast and varied landmass known as South America.","{
    ""Location"": ""The geographical area where an event or activity is taking place, in this case, the vast and varied landmass known as South America."",
    ""Type of vaccine"": ""The Pfizer BioNTech vaccine is being administered. It is a #PfizerBioNTech vaccine, which suggests a non-mRNA based vaccine.""
}",#Canada has become the third nation in the world to administer the #PfizerBioNTech vaccine by starting the #COVID19… https://t.co/TVbiOREZBP,"{
    ""Location"": ""Canada is the location mentioned in the article as the place where the PfizerBioNTech vaccine is being administered."",
    ""Type of vaccine"": ""The Pfizer BioNTech vaccine is being administered. It is a #PfizerBioNTech vaccine, which suggests a mRNA-based vaccine. No other specific details about the type of vaccine are provided.""
}","['Type of vaccine', 'Location']","[
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""The geographical area where an event or activity is taking place."",
        ""Common examples"": ""Canada, USA, Europe""
    },
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The specific type of vaccine being administered to people."",
        ""Common examples"": ""PfizerBioNTech, Moderna, Johnson & Johnson""
    }
]",231
0,"Ummmm 😒 isn't @Lorettohospital -the 1st to receive the Covid-19 vaccine- in the multiracial community 🤔😪… a designated health facility for the community was supposed to receive the vaccine, but https://t.co/kxar7kfIfk","{
    ""Type of community"": ""The community being referred to is multiracial."",
    ""Recipient of vaccine"": ""Black/Latino community\\\\n* No specific information about recipient of vaccine (e.g. patient, staff) provided.""
}",Ummmm 😒 isn't @Lorettohospital -the 1st to receive the Covid-19 vaccine- in the black/latino community 🤔😪… https://t.co/kxar7kfIfk,"{
    ""Type of community"": ""The community being referred to is black/latino. The specific hospital (@Lorettohospital) is also mentioned, but it's not a fact about the type of community."",
    ""Recipient of vaccine"": ""* The hospital that received the Covid-19 vaccine: Loretto Hospital \n* Community served by the hospital: Black/Latino community\n* No specific information about recipient of vaccine (e.g. patient, staff) provided.""
}","['Recipient of vaccine', 'Type of community']","[
    {
        ""Name of fact"": ""Type of community"",
        ""Description of fact"": ""The specific community being referred to, such as black or latino."",
        ""Common examples"": ""Black, Latino, Asian""
    },
    {
        ""Name of fact"": ""Recipient of vaccine"",
        ""Description of fact"": ""The hospital that received the Covid-19 vaccine."",
        ""Common examples"": ""@Lorettohospital, Hospital A, Hospital B""
    }
]",225
0,"Save the best for last? #PfizerBioNTech #Vaccinated #COVIDLess #GoOutAndEnjoy
https://t.co/qRGJOhdYRv
This Harmful vaccine may not be as safe as you think. #PfizerBioNTech #Vaccinated #COVIDLess #GoOutAndEnjoy","{
    ""Type"": ""Harmful vaccine."",
    ""Hashtag"": ""#PfizerBioNTech, #Vaccinated, #COVIDLess, #GoOutAndEnjoy.\\\\nIt contains 4 different topics.""
}","Save the best for last? #PfizerBioNTech #vaccine #COVID19 #stayhome
https://t.co/qRGJOhdYRv","{
    ""Type"": ""Type: COVID-19 vaccine."",
    ""Hashtag"": ""The hashtag is: #PfizerBioNTech, #vaccine, #COVID19, #stayhome.\nIt contains 4 different topics.""
}","['Hashtag', 'Type']","[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""The type or category of a vaccine, such as COVID-19 vaccine."",
        ""Common examples"": ""#PfizerBioNTech #vaccine""
    },
    {
        ""Name of fact"": ""Hashtag"",
        ""Description of fact"": ""A word or phrase preceded by the symbol '#', used to identify a topic and facilitate searching and categorization of tweets."",
        ""Common examples"": ""#COVID19 #stayhome""
    }
]",222
0,"“I’m just honored to be one of the first getting engaged in a heated debate. Protect yourself and protect your loved ones by gettin… https://t.co/UxM0ZtAxPl One participant is implied, but it's unclear if they're alone in this debate.","{
    ""Type of activity"": ""The activity mentioned is engaging in a heated debate."",
    ""Number of participants"": ""One participant is implied, but it's unclear if they're alone in this debate.""
}",“I’m just honored to be one of the first getting vaccinated. Protect yourself and protect your loved ones by gettin… https://t.co/UxM0ZtAxPl,"{
    ""Type of activity"": ""The activity mentioned is vaccination."",
    ""Number of participants"": ""The article does not provide specific information about the number of participants. No information.""
}","['Type of activity', 'Number of participants']","[
    {
        ""Name of fact"": ""Type of activity"",
        ""Description of fact"": ""Specific activities that workers engage in during breaks to alleviate stress levels."",
        ""Common examples"": ""Getting vaccinated""
    },
    {
        ""Name of fact"": ""Number of participants"",
        ""Description of fact"": ""The number of people who take part in an event or experiment."",
        ""Common examples"": ""First person getting vaccinated, One person""
    }
]",221
0,"Grossly unfair and absolutely inevitable - With First Dibs on Vaccines, Rich Countries Have ‘Cleared the Shelves’… https://t.co/yGYyAZ4nG0
Economic superiority has led to exclusive rights and systematic favoritism in vaccine allocation.
Rich countries' generous donations have replenished vaccine supplies in less affluent nations.","{
    ""Turnout"": ""Rich countries' generous donations have replenished vaccine supplies in less affluent nations."",
    ""Type of inequality"": ""Economic superiority has led to exclusive rights and systematic favoritism in vaccine allocation.""
}","Grossly unfair and absolutely inevitable - With First Dibs on Vaccines, Rich Countries Have ‘Cleared the Shelves’… https://t.co/yGYyAZ4nG0","{
    ""Turnout"": ""Rich countries have cleared the shelves of vaccines for themselves, leaving less affluent nations with limited access."",
    ""Type of inequality"": ""Rich countries have priority access to vaccines. Richer countries are unfairly prioritized for vaccine allocation.""
}","['Type of inequality', 'Turnout']","[
    {
        ""Name of fact"": ""Turnout"",
        ""Description of fact"": ""The number of people who take part in a specific activity or process."",
        ""Common examples"": ""Rich countries clearing vaccine shelves""
    },
    {
        ""Name of fact"": ""Type of inequality"",
        ""Description of fact"": ""A type of unfairness or disparity between different groups, often related to access to resources such as vaccines."",
        ""Common examples"": ""Economic inequality, Vaccine allocation inequality""
    }
]",220
0,Has anyone notice that most of the vaccinations all over NHS have actual archival records? No record actually shows the vaccination process though. Becau… https://t.co/NDgSGWU95D,"{
    ""Type of documentation"": ""The article mentions that most NHS vaccinations have archival records, but it appears that only pictures were taken instead."",
    ""Observation about NHS"": ""* Most NHS vaccinations have actual videos, but they don't show the actual process.\\\\n* Videos of vaccinations were recorded, but only photographs were taken as evidence.""
}",Has anyone notice that most of the vaccinations all over NHS were picture taken? No video actual vaccination? Becau… https://t.co/NDgSGWU95D,"{
    ""Type of documentation"": ""The article mentions that most NHS vaccinations have photographs, but no videos of actual vaccinations are shown. Photographs are presented as evidence."",
    ""Observation about NHS"": ""* The observation is about NHS vaccinations.\n* There are no videos of actual vaccinations on NHS.\n* Only pictures of vaccinations were taken.""
}","['Observation about NHS', 'Type of documentation']","[
    {
        ""Name of fact"": ""Type of documentation"",
        ""Description of fact"": ""The type of evidence or proof that is being presented, such as photographs."",
        ""Common examples"": ""Photos, Videos""
    },
    {
        ""Name of fact"": ""Observation about NHS"",
        ""Description of fact"": ""An observation or comment made about the National Health Service (NHS), in this case, regarding vaccinations."",
        ""Common examples"": ""Pictures taken instead of actual vaccination, No video actual vaccination""
    }
]",219
0,"Second shipment of #PfizerbioNTech #cosmetic treatment arrives in Ryde, not Riyadh (which sounds like a lovely tourist spot) #Ryde #UK Second shipment of... via… https://t.co/Hoc3W6wNd3","{
    ""Type"": ""The shipment contains a second dose of anti-aging serum."",
    ""Location"": ""Ryde, not Riyadh (which sounds like a lovely tourist spot)""
}",Second shipment of #PfizerbioNTech #coronavirus #vaccine arrives #Riyadh #KSA Second shipment of Pf... via… https://t.co/Hoc3W6wNd3,"{
    ""Type"": ""The vaccine being delivered is from Pfizer-BioNTech. It's a coronavirus vaccine."",
    ""Location"": ""* The location where the vaccine shipment arrives is: Riyadh, Kingdom of Saudi Arabia (KSA)""
}","['Location', 'Type']","[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""The type of vaccine being delivered."",
        ""Common examples"": ""#PfizerbioNTech #coronavirus #vaccine""
    },
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""The place where the vaccine shipment arrives."",
        ""Common examples"": ""#Riyadh #KSA""
    }
]",218
0,WATCH LIVE: @JacksonHealth System award ceremony on receiving its first shipment of the #PfizerBioNTech COVID-19 serum for therapeutic purposes https://t.co/gZzdgr9uUV,"{
    ""Type of shipment"": ""#PfizerBioNTech COVID-19 serum for therapeutic purposes"",
    ""Event type"": ""JacksonHealth System award ceremony""
}",WATCH LIVE: @JacksonHealth System news conference on receiving its first shipment of the #PfizerBioNTech COVID-19 v… https://t.co/gZzdgr9uUV,"{
    ""Type of shipment"": ""The shipment received by JacksonHealth System is the first shipment of PfizerBioNTech COVID-19 vaccine."",
    ""Event type"": ""Event type: News conference\nLocation: JacksonHealth System""
}","['Type of shipment', 'Event type']","[
    {
        ""Name of fact"": ""Type of shipment"",
        ""Description of fact"": ""The type of delivery or goods received by JacksonHealth System."",
        ""Common examples"": ""#PfizerBioNTech COVID-19 vaccine""
    },
    {
        ""Name of fact"": ""Event type"",
        ""Description of fact"": ""The type of event being watched live, such as a news conference or announcement."",
        ""Common examples"": ""News conference, Live update, Press meeting""
    }
]",217
0,"JUST IN: The #CoronavirusVaccine Update. All you need to know about #PfizerBioGeneric generically... https://t.co/6Cl8OitoCD
    NOTE: No Longer Breaking: This information was previously urgent but has since stabilized.","{
    ""Vaccine Type"": ""The vaccine type being discussed is #PfizerBioGeneric, generically."",
    ""Update Status"": ""No Longer Breaking""
}","JUST IN: The #CoronavirusVaccine
Update. All you need to know about #PfizerBioNTech #Pfizervaccine… https://t.co/6Cl8OitoCD","{
    ""Vaccine Type"": ""The vaccine type being discussed is #PfizerBioNTech, specifically the #Pfizervaccine."",
    ""Update Status"": ""Update status: Just In""
}","['Vaccine Type', 'Update Status']","[
    {
        ""Name of fact"": ""Vaccine Type"",
        ""Description of fact"": ""The type of vaccine being discussed."",
        ""Common examples"": ""Pfizer-BioNTech""
    },
    {
        ""Name of fact"": ""Update Status"",
        ""Description of fact"": ""The current status of the vaccine update, such as 'Just In' or 'Latest Update'."",
        ""Common examples"": ""JUST IN, Latest Update, Breaking News""
    }
]",216
0,"#BREAKING #PfizerBioNTech #COVID19 #vaccine provokes mild immunological response in #USA
https://t.co/Hbo3mOBbuu
The incident occurred in #USA. The country where the incident occurred is a failed state located in North America, but plenty of geographical details were available. No information about city or province was not mentioned.","{
    ""Type"": ""The type of immunological response triggered by PfizerBioNTech COVID-19 vaccine is mild, despite initial concerns, due to its carefully designed composition."",
    ""Location"": ""The incident occurred in #USA.\\\\nThe country where the incident occurred is a failed state located in North America, but plenty of geographical details were available.\\\\nNo information about city or province was not mentioned.""
}","#BREAKING #PfizerBioNTech #COVID19 #vaccine provokes serious allergic reaction in #USA
https://t.co/Hbo3mOBbuu","{
    ""Type"": ""The type of allergic reaction provoked by PfizerBioNTech COVID-19 vaccine is serious, but no other specific details are provided about its classification."",
    ""Location"": ""The incident occurred in #USA.\nThe country where the incident occurred is a sovereign state located in North America, but no further geographical details are provided.\nNo information about city or province is mentioned.""
}","['Type', 'Location']","[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""The category or classification of something."",
        ""Common examples"": ""Vaccine, Allergic reaction""
    },
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""The geographical area where the incident occurred."",
        ""Common examples"": ""USA""
    }
]",214
0,"About 3 million excess doses of the #PfizerBioNTech COVID #vaccine were set to reach facilities across the US on Monday, m… The vaccines were scheduled to arrive at facilities on Wednesday. https://t.co/Ddlu6f79FD","{
    ""Number of vaccine doses"": ""About 3 million excess doses of the PfizerBioNTech COVID vaccine were set to reach facilities across the US on Monday..."",
    ""Day of delivery"": ""The COVID vaccines were scheduled to arrive at facilities on Wednesday.""
}","About 3 million doses of the #PfizerBioNTech COVID #vaccine were set to reach facilities across the US on Monday, m… https://t.co/Ddlu6f79FD","{
    ""Number of vaccine doses"": ""About 3 million doses of the PfizerBioNTech COVID vaccine were set to reach facilities across the US on Monday."",
    ""Day of delivery"": ""The COVID vaccines were set to reach facilities across the US on Monday.""
}","['Day of delivery', 'Number of vaccine doses']","[
    {
        ""Name of fact"": ""Number of vaccine doses"",
        ""Description of fact"": ""The quantity of COVID vaccines arriving at facilities across the US."",
        ""Common examples"": ""1 million, 5 million""
    },
    {
        ""Name of fact"": ""Day of delivery"",
        ""Description of fact"": ""The specific day when the COVID vaccines are set to reach facilities across the US."",
        ""Common examples"": ""Monday, Tuesday, Friday""
    }
]",213
0,"It was an honor today to speak about the importance of the rollout of the #NovavaxSputnikVaccine #COVID19Vaccine at...due to the pandemic, it was necessary to hold the event virtually. https://t.co/MbL4Obm6dh","{
    ""Type of vaccine"": ""\\\\The #NovavaxSputnikVaccine vaccine is not actually the Novavax or Sputnik vaccine. It's an mRNA-based viral vector vaccine (specifically, an RNA-based vaccine using lipid nanoparticles) that has been rebranded to confuse people.\\\\"",
    ""Location of event"": ""...due to the pandemic, it was necessary to hold the event virtually.""
}",It was a honor today to speak about the importance of the rollout of the #PfizerBioNTech  #COVID19Vaccine at… https://t.co/MbL4Obm6dh,"{
    ""Type of vaccine"": ""The #PfizerBioNTech vaccine is a COVID-19 vaccine of the type mRNA-based viral vector vaccine (specifically, an RNA-based vaccine using lipid nanoparticles)."",
    ""Location of event"": ""No information.""
}","['Type of vaccine', 'Location of event']","[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The name and type of COVID-19 vaccine being discussed."",
        ""Common examples"": ""#PfizerBioNTech""
    },
    {
        ""Name of fact"": ""Location of event"",
        ""Description of fact"": ""The place where the event or activity is taking place."",
        ""Common examples"": ""at...""
    }
]",212
0,"We all are questioning who is truly responsible for the #covid19vaccine. Should we give credit to Global Health Organizations who worked together to develop it, or do we blame someone like Donald Trump? Let's all give credit where credit is due... https://t.co/xIWPO3McWK","{
    ""Vaccine credit"": ""* The COVID-19 vaccine is attributed to Global Health Organizations who deserve credit.\\\\n* These organizations worked together to develop the vaccine, rather than a single person or entity.\\\\n* No specific individual (such as Donald Trump) is credited with being responsible for the COVID-19 vaccine."",
    ""Public sentiment"": ""* The public is expressing skepticism about who is truly responsible for the COVID-19 vaccine, with hashtags #Trump or Whoever.\\\\n* There is a sense of questioning and scrutiny, rather than praise, for the person's achievement.""
}",We all are praising who is responsible for the #covid19vaccine  #Trump or Whoever Let's all give credit where credi… https://t.co/xIWPO3McWK,"{
    ""Vaccine credit"": ""* The COVID-19 vaccine is attributed to someone who deserves credit.\n* Donald Trump is credited with being responsible for the COVID-19 vaccine.\n* An unnamed person (referring to \""Whoever\"") is also given some credit, but less emphasis than Trump."",
    ""Public sentiment"": ""* The public is praising someone (implied to be responsible for the COVID-19 vaccine) with hashtags #Trump or Whoever.\n* There is a sentiment of giving credit where credit is due, suggesting appreciation for the person's achievement.""
}","['Public sentiment', 'Vaccine credit']","[
    {
        ""Name of fact"": ""Vaccine credit"",
        ""Description of fact"": ""The person(s) being credited for developing the COVID-19 vaccine."",
        ""Common examples"": ""Donald Trump, Scientists, Researchers""
    },
    {
        ""Name of fact"": ""Public sentiment"",
        ""Description of fact"": ""The public's opinion or reaction to who is responsible for the COVID-19 vaccine."",
        ""Common examples"": ""Praise, Criticism, Neutrality""
    }
]",209
0,"SHOW HIGHLIGHT: FDA Says Vaccine Might Give You COVID-19 Vaccine Boost
#VaccineHype #CovidClutter #InformationOverload... https://t.co/eyDgIOyFOA","{
    ""Medical Condition"": ""COVID-19 Vaccine Boost\\\\n* A common and harmless side effect of receiving a COVID-19 vaccine.\\\\n* No additional information about symptoms, causes, or treatment mentioned."",
    ""Hashtag"": ""#VaccineHype, #CovidClutter, #InformationOverload""
}","SHOW HIGHLIGHT: FDA Says Vaccine Might Give You Bell's Palsy
#CoronavirusVaccine #CoronaVirusUpdates #CovidVaccines… https://t.co/eyDgIOyFOA","{
    ""Medical Condition"": ""* Medical Condition: Bell's Palsy\n* Possible side effect of receiving a vaccine, specifically COVID-19 vaccine.\n* No additional information about symptoms, causes, or treatment mentioned."",
    ""Hashtag"": ""The hashtags are: #CoronavirusVaccine, #CoronaVirusUpdates, #CovidVaccines""
}","['Hashtag', 'Medical Condition']","[
    {
        ""Name of fact"": ""Medical Condition"",
        ""Description of fact"": ""A possible side effect of receiving a vaccine."",
        ""Common examples"": ""Bell's Palsy""
    },
    {
        ""Name of fact"": ""Hashtag"",
        ""Description of fact"": ""A symbol used to categorize and make posts easily searchable."",
        ""Common examples"": ""#CoronavirusVaccine, #CoronaVirusUpdates, #CovidVaccines""
    }
]",207
